Epoch 1, val_loss=0.3136, val_acc=89.20%
Epoch 2, val_loss=0.2716, val_acc=90.00%
Epoch 3, val_loss=0.1788, val_acc=93.51%
Epoch 4, val_loss=0.2333, val_acc=91.77%
Epoch 5, val_loss=0.2146, val_acc=92.29%
Epoch 6, val_loss=0.1485, val_acc=94.69%
Epoch 7, val_loss=0.1529, val_acc=94.51%
Epoch 8, val_loss=0.1422, val_acc=94.86%
Epoch 9, val_loss=0.144, val_acc=94.95%
Epoch 10, val_loss=0.1797, val_acc=93.46%
Epoch 11, val_loss=0.1553, val_acc=94.46%
Epoch 12, val_loss=0.1439, val_acc=94.89%
Epoch 13, val_loss=0.1437, val_acc=95.11%
Epoch 14, val_loss=0.1567, val_acc=94.80%
Epoch 15, val_loss=0.1544, val_acc=94.75%
Epoch 16, val_loss=0.1507, val_acc=95.25%
Epoch 17, val_loss=0.1567, val_acc=95.18%
Epoch 18, val_loss=0.1542, val_acc=95.27%
Epoch 19, val_loss=0.155, val_acc=95.15%
Epoch 20, val_loss=0.163, val_acc=95.03%
