Epoch 1, val_loss=0.552, val_acc=75.97%
Epoch 2, val_loss=0.2163, val_acc=92.30%
Epoch 3, val_loss=0.1715, val_acc=93.88%
Epoch 4, val_loss=0.1732, val_acc=93.70%
Epoch 5, val_loss=0.1725, val_acc=93.80%
Epoch 6, val_loss=0.1486, val_acc=94.61%
Epoch 7, val_loss=0.1549, val_acc=94.43%
Epoch 8, val_loss=0.148, val_acc=94.75%
Epoch 9, val_loss=0.1487, val_acc=94.76%
Epoch 10, val_loss=0.1385, val_acc=95.10%
Epoch 11, val_loss=0.1457, val_acc=94.79%
Epoch 12, val_loss=0.1456, val_acc=95.00%
Epoch 13, val_loss=0.143, val_acc=95.13%
Epoch 14, val_loss=0.1393, val_acc=95.40%
Epoch 15, val_loss=0.1467, val_acc=95.25%
Epoch 16, val_loss=0.1466, val_acc=95.25%
Epoch 17, val_loss=0.1518, val_acc=95.18%
Epoch 18, val_loss=0.1559, val_acc=95.35%
Epoch 19, val_loss=0.1626, val_acc=95.13%
Epoch 20, val_loss=0.1665, val_acc=95.14%
